epoch,train_loss,train_error,valid_loss,valid_error,test_error
001,0.428280,0.208023,0.28489,0.12700,
002,0.266058,0.111910,0.26160,0.10700,
003,0.178666,0.069223,0.31064,0.13700,
004,0.093534,0.033813,0.44090,0.15600,
005,0.047274,0.016329,0.45363,0.12200,
006,0.046800,0.018459,0.50371,0.13300,
007,0.034854,0.012425,0.51321,0.12700,
008,0.038957,0.013756,0.42987,0.10700,
009,0.023604,0.007810,0.52843,0.11800,
010,0.022501,0.008786,0.55325,0.12700,
011,0.017714,0.005946,0.51831,0.11000,
012,0.005380,0.000621,0.51502,0.11400,
013,0.006282,0.001331,0.50798,0.11400,
014,0.004336,0.001065,0.53973,0.10900,
