epoch,train_loss,train_error,valid_loss,valid_error,test_error
001,0.167063,0.067852,0.15749,0.06200,
002,0.170577,0.067610,0.16002,0.06300,
003,0.170497,0.069787,0.16275,0.06675,
004,0.170211,0.066642,0.15592,0.06050,
005,0.167920,0.066159,0.16235,0.06400,
006,0.165272,0.065675,0.16426,0.06500,
007,0.167835,0.069666,0.15870,0.06425,
008,0.168388,0.070271,0.16660,0.06475,
009,0.165361,0.067247,0.16226,0.06550,
010,0.169273,0.069424,0.16109,0.06250,
011,0.167385,0.066884,0.15995,0.06400,
012,0.166695,0.068094,0.15766,0.06450,
013,0.165119,0.067852,0.16005,0.06075,
014,0.161084,0.064828,0.15770,0.06000,
015,0.162641,0.064103,0.16400,0.06825,
016,0.159738,0.067368,0.15894,0.06325,
017,0.159097,0.065070,0.16465,0.06600,
018,0.160187,0.067126,0.16065,0.06325,
019,0.166099,0.068578,0.16236,0.06575,
020,0.158567,0.063377,0.16258,0.06325,
021,0.160190,0.064828,0.16696,0.06375,
022,0.158020,0.065675,0.16011,0.06125,
023,0.161214,0.068094,0.16507,0.06450,
024,0.160326,0.063861,0.16611,0.06650,
025,0.160952,0.064224,0.16407,0.06325,
026,0.163629,0.067005,0.16496,0.06675,
027,0.160810,0.063619,0.15802,0.06225,
028,0.160467,0.065070,0.16317,0.06575,
029,0.164606,0.065796,0.16380,0.06925,
030,0.158654,0.066522,0.16744,0.06600,
