epoch,train_loss,train_error,valid_loss,valid_error,test_error
001,0.430464,0.192826,0.43735,0.15500,
002,0.357358,0.153804,0.35516,0.16500,
003,0.334884,0.147174,0.33801,0.13500,
004,0.310272,0.135978,0.31356,0.13125,
005,0.301419,0.129130,0.31742,0.13000,
006,0.282191,0.122609,0.29016,0.11625,
007,0.270807,0.117826,0.55592,0.16250,
008,0.261545,0.111087,0.51652,0.23875,
009,0.240185,0.101739,0.36220,0.13250,
010,0.229670,0.096087,0.29253,0.12625,
011,0.215672,0.092174,0.33413,0.13000,
012,0.200823,0.080870,0.37003,0.12250,
013,0.192819,0.086739,0.30674,0.11125,
014,0.126232,0.048370,0.28313,0.09750,
015,0.102382,0.036522,0.29391,0.09500,
016,0.082218,0.030109,0.30916,0.09500,
017,0.073327,0.026957,0.32578,0.10375,
018,0.058189,0.021522,0.36225,0.10375,
019,0.055426,0.018804,0.37488,0.10750,
020,0.037999,0.010435,0.35726,0.10750,
021,0.039643,0.012391,0.36453,0.09750,
022,0.031265,0.007935,0.36084,0.09625,
023,0.032393,0.009457,0.35908,0.09375,
024,0.030439,0.009239,0.36470,0.09250,
025,0.031059,0.009239,0.37166,0.10000,
