epoch,train_loss,train_error,valid_loss,valid_error,test_error
001,0.416791,0.191333,0.48301,0.23000,
002,0.366606,0.168000,1.17405,0.42600,
003,0.356442,0.160889,0.41740,0.21000,
004,0.348412,0.153111,0.32456,0.13800,
005,0.328339,0.146000,0.42747,0.19600,
006,0.316971,0.140889,0.37589,0.16000,
007,0.299646,0.126444,0.34063,0.14400,
008,0.285148,0.122667,0.38535,0.17400,
009,0.259922,0.105778,2.13862,0.43400,
010,0.246992,0.105333,0.41194,0.18800,
011,0.242199,0.104222,0.32219,0.14000,
012,0.232167,0.096667,0.34525,0.16200,
013,0.223800,0.088667,0.58640,0.20600,
014,0.146809,0.055111,0.32337,0.12800,
015,0.112358,0.044444,0.33316,0.12600,
016,0.100415,0.035111,0.34002,0.14000,
017,0.080651,0.029111,0.36526,0.13000,
018,0.077275,0.028000,0.45561,0.13200,
019,0.063820,0.020000,0.45468,0.14000,
020,0.055734,0.014889,0.40954,0.13200,
021,0.045156,0.011333,0.39935,0.12800,
022,0.043884,0.011111,0.41974,0.13200,
023,0.041105,0.010000,0.41722,0.12800,
024,0.044736,0.012000,0.44308,0.13000,
025,0.043355,0.011111,0.42077,0.13600,
