epoch,train_loss,train_error,valid_loss,valid_error,test_error
001,0.407333,0.184626,0.38937,0.18700,
002,0.394391,0.177378,0.39357,0.17300,
003,0.387691,0.174348,0.38310,0.16300,
004,0.388078,0.172833,0.38142,0.17100,
005,0.379733,0.167479,0.39405,0.17600,
006,0.377390,0.168691,0.39949,0.17400,
007,0.372369,0.165737,0.38265,0.17900,
008,0.371620,0.165282,0.40137,0.19200,
009,0.369809,0.163843,0.39129,0.17700,
010,0.367771,0.162832,0.44481,0.20500,
011,0.361104,0.158868,0.37322,0.17200,
012,0.362025,0.158640,0.39402,0.17400,
013,0.357205,0.158489,0.40684,0.18700,
014,0.354178,0.155357,0.44483,0.20500,
015,0.352812,0.155408,0.36209,0.15500,
016,0.347704,0.151241,0.40836,0.17300,
017,0.348482,0.152479,0.39800,0.17500,
018,0.344373,0.151519,0.50906,0.20000,
019,0.340546,0.150484,0.39021,0.16600,
020,0.338415,0.148741,0.38635,0.17200,
021,0.309679,0.133766,0.35475,0.15200,
022,0.299454,0.128665,0.35299,0.15800,
023,0.291778,0.123867,0.34625,0.14800,
024,0.286045,0.121771,0.34656,0.15000,
025,0.285251,0.122200,0.35775,0.15300,
026,0.280738,0.118589,0.33712,0.14800,
027,0.276114,0.116291,0.36225,0.15200,
028,0.273427,0.115558,0.34740,0.14700,
029,0.267374,0.113917,0.34419,0.14000,
030,0.265897,0.111619,0.34939,0.15200,
031,0.266321,0.112983,0.33768,0.13500,
032,0.265687,0.112175,0.35680,0.14700,
033,0.264373,0.110786,0.35206,0.15300,
034,0.264051,0.111821,0.34135,0.14100,
035,0.261778,0.110457,0.34395,0.14300,
036,0.262807,0.111114,0.35297,0.14800,
037,0.261648,0.108235,0.35286,0.14700,
038,0.263262,0.111013,0.35899,0.14700,
039,0.262251,0.111442,0.33425,0.13700,
040,0.261837,0.110710,0.33607,0.13700,
