epoch,train_loss,train_error,valid_loss,valid_error,test_error
001,0.512916,0.257778,0.70689,0.52000,
002,0.431420,0.180000,6.81349,0.48000,
003,0.411888,0.191111,30.65128,0.48000,
004,0.420918,0.176667,51.53003,0.48000,
005,0.421043,0.190000,6.48517,0.48000,
006,0.419713,0.178889,2.46071,0.48000,
007,0.353522,0.144444,0.37546,0.15000,
008,0.382639,0.162222,0.38767,0.18000,
009,0.340105,0.146667,0.36846,0.15000,
010,0.351928,0.148889,0.31095,0.11000,
011,0.347411,0.145556,0.36131,0.15000,
012,0.336578,0.135556,0.34625,0.16000,
013,0.327565,0.128889,0.37139,0.17000,
014,0.360598,0.162222,0.38370,0.16000,
015,0.337398,0.140000,0.35771,0.15000,
016,0.333029,0.143333,0.34584,0.15000,
017,0.333028,0.136667,0.38627,0.16000,
018,0.320324,0.128889,0.35207,0.14000,
019,0.331733,0.137778,0.36091,0.15000,
020,0.320088,0.136667,0.37040,0.13000,
