epoch,train_loss,train_error,valid_loss,valid_error,test_error
001,2.167917,0.681146,2.09867,0.67150,
002,1.969629,0.630042,2.07269,0.63900,
003,1.866792,0.597750,2.04000,0.63900,
004,1.767379,0.564354,1.83101,0.56700,
005,1.677703,0.534417,2.09734,0.63100,
006,1.608541,0.513750,2.56263,0.62550,
007,1.535291,0.490104,1.76977,0.55950,
008,1.479193,0.468833,1.97810,0.58150,
009,1.429531,0.455625,1.69512,0.51450,
010,1.375832,0.438479,1.62960,0.50350,
011,1.327983,0.424229,1.79180,0.53350,
012,1.281643,0.407313,1.53779,0.48400,
013,1.241733,0.396937,1.73607,0.51850,
014,1.193857,0.382333,1.59976,0.48200,
015,1.156718,0.368250,1.56514,0.47200,
016,1.116626,0.357146,1.61704,0.49150,
017,1.079115,0.346313,1.46609,0.44150,
018,1.040305,0.333313,2.27250,0.58750,
019,1.000009,0.321792,1.57776,0.46050,
020,0.967157,0.313604,1.51568,0.44900,
021,0.540261,0.163792,1.30094,0.37350,
022,0.349679,0.102813,1.39430,0.38650,
023,0.239691,0.065687,1.48682,0.38600,
024,0.151156,0.036875,1.65515,0.38500,
025,0.094693,0.019604,1.74881,0.38900,
026,0.054729,0.008271,1.83898,0.38800,
027,0.034697,0.003729,1.93157,0.38800,
028,0.022245,0.001500,2.00827,0.39050,
029,0.016083,0.001042,2.03596,0.38100,
030,0.012511,0.000750,2.06743,0.38150,
031,0.008676,0.000333,2.06030,0.38150,
032,0.008334,0.000208,2.05193,0.38350,
033,0.007735,0.000208,2.07779,0.38650,
034,0.007420,0.000167,2.07113,0.38550,
035,0.006978,0.000188,2.07254,0.38600,
036,0.006672,0.000104,2.08861,0.38400,
037,0.006914,0.000104,2.09967,0.38350,
038,0.006598,0.000146,2.08474,0.38700,
039,0.006259,0.000104,2.07712,0.38550,
040,0.006260,0.000146,2.08757,0.38550,
