epoch,train_loss,train_error,valid_loss,valid_error,test_error
001,0.332545,0.118821,0.36582,0.13100,
002,0.300921,0.116538,0.39123,0.15100,
003,0.285787,0.112397,0.29788,0.12000,
004,0.276809,0.108923,0.30787,0.12850,
005,0.270195,0.107513,0.49177,0.13100,
006,0.263693,0.105282,0.45999,0.13050,
007,0.256483,0.103026,0.39244,0.15300,
008,0.249358,0.100410,0.37547,0.12750,
009,0.244006,0.099103,0.32830,0.12500,
010,0.239057,0.096064,0.40821,0.19800,
011,0.235356,0.095244,0.41658,0.12950,
012,0.230949,0.093615,0.37590,0.12900,
013,0.228106,0.092615,0.71678,0.33950,
014,0.226463,0.091872,0.53581,0.22450,
015,0.223793,0.090538,0.26218,0.10450,
016,0.220770,0.090013,0.26920,0.10650,
017,0.218161,0.088692,0.31816,0.12000,
018,0.216442,0.088641,0.50400,0.12800,
019,0.214889,0.087128,0.45612,0.13000,
020,0.212700,0.085795,0.53583,0.13050,
021,0.172626,0.069897,0.23368,0.09400,
022,0.151128,0.060500,0.23404,0.09450,
023,0.137708,0.055218,0.23960,0.09400,
024,0.123748,0.048474,0.24346,0.08950,
025,0.111149,0.043897,0.27683,0.09750,
